t,ax,ay,az,magnitud,etiqueta,registro
2.50265825,0.3636382030603357,0.020347135110143844,-2.9885511718037527,3.010661863298787,caminata,caminata/caminata_001
2.51261725,0.08055176926828232,-0.09460838094541493,-3.0487478613969707,3.0512788885400113,caminata,caminata/caminata_001
2.52257725,-0.15984564695354,-0.18224073542880817,-3.0178159831937394,3.027536230157985,caminata,caminata/caminata_001
2.53253625,-0.3426996849778311,-0.24290931532384094,-2.9080104240915374,2.9381920693140615,caminata,caminata/caminata_001
2.54249625,-0.458608271523516,-0.2810219081234707,-2.7351742828378582,2.787556854496915,caminata,caminata/caminata_001
2.55245625,-0.5044251147521106,-0.3044094207698179,-2.5172342227539803,2.585261674192756,caminata,caminata/caminata_001
2.56241525,-0.4834278651725266,-0.3231222330645866,-2.2726225286523745,2.345831118402223,caminata,caminata/caminata_001
2.57237525,-0.4048411155383039,-0.34786842625451564,-2.0187777524868227,2.0881504698538462,caminata,caminata/caminata_001
2.58233425,-0.2827825050099175,-0.38836530644531686,-1.7708648541250782,1.8348721721050443,caminata,caminata/caminata_001
2.59229425,-0.13476966383586708,-0.451873361936128,-1.5408267552196233,1.6113657210945391,caminata,caminata/caminata_001
2.60225325,0.020024889218085762,-0.5421324344789039,-1.3368356571072273,1.4427190117328916,caminata,caminata/caminata_001
2.61221325,0.16256296576938084,-0.6588384228152009,-1.1631613832643075,1.3466399625492687,caminata,caminata/caminata_001
2.62217225,0.2755766783060099,-0.7977041219488653,-1.0204241656440765,1.324212917030639,caminata,caminata/caminata_001
2.63213225,0.34489212275099046,-0.9510577368805959,-0.9061587139574799,1.3581550022354587,caminata,caminata/caminata_001
2.64209225,0.3603388573145228,-1.1088608297598526,-0.8155903450795925,1.4228858151143027,caminata,caminata/caminata_001
2.65205125,0.316207505883053,-1.2599818767865751,-0.7425141276626815,1.496284981674973,caminata,caminata/caminata_001
2.66201125,0.21127788343603243,-1.393544453644073,-0.680173055536782,1.5650047520022454,caminata,caminata/caminata_001
2.67197025,0.048487354565929175,-1.5001778817864195,-0.6220478329861087,1.6247548144494615,caminata,caminata/caminata_001
2.68193025,-0.1656612770211225,-1.5730273177930356,-0.562494608289836,1.6787670432738895,caminata,caminata/caminata_001
2.69188925,-0.421842764872952,-1.608422646324915,-0.4971934925083258,1.735562184561281,caminata,caminata/caminata_001
2.70184925,-0.7087014055119065,-1.606154128552388,-0.4233960781921424,1.8058939630744988,caminata,caminata/caminata_001
2.71180925,-1.013611895704998,-1.5693515252455201,-0.3399815890998795,1.8989104154309122,caminata,caminata/caminata_001
2.72176825,-1.3233588750543575,-1.5040073657125694,-0.2473471723467479,2.018538454419615,caminata,caminata/caminata_001
2.73172825,-1.624716051313356,-1.4182200783625611,-0.1471679113966788,2.1616449366653243,caminata,caminata/caminata_001
2.74168725,-1.9049314978242038,-1.3212558859221297,-0.042067190426989275,2.318674357471755,caminata,caminata/caminata_001
2.75164725,-2.152141569933277,-1.2225384012142186,0.06476060825759368,2.4759861501753564,caminata,caminata/caminata_001
2.76160625,-2.3557405308769352,-1.1306723239303142,0.1699343395877163,2.6185513232872553,caminata,caminata/caminata_001
2.77156625,-2.5067278250075615,-1.0525946749737018,0.27023997513283715,2.73215475085324,caminata,caminata/caminata_001
2.78152525,-2.598043201264472,-0.9929266314439016,0.36292273816339143,2.8048965551233955,caminata,caminata/caminata_001
2.79148525,-2.624885611500774,-0.9535744468900511,0.4458948590514728,2.8281002324093802,caminata,caminata/caminata_001
2.80144525,-2.584998932908644,-0.933601944189746,0.5178478363386578,2.7967835910084875,caminata,caminata/caminata_001
2.81140425,-2.478899072845013,-0.9293716676421804,0.5782713891896253,2.709809976644704,caminata,caminata/caminata_001
2.82136425,-2.31001448003913,-0.9349284583402954,0.6273943217711595,2.5698018902623034,caminata,caminata/caminata_001
2.83132325,-2.084715513561369,-0.9425795529248016,0.6660724091281247,2.3828863674705736,caminata,caminata/caminata_001
2.84128325,-1.812215765133915,-0.9436111604393222,0.6956522495713764,2.1583466018782205,caminata,caminata/caminata_001
2.85124225,-1.5043372251653553,-0.9290743334611185,0.7178360808370577,1.908271008810313,caminata,caminata/caminata_001
2.86120225,-1.1751382622383404,-0.8905730685313337,0.734561272836219,1.6473161777025769,caminata,caminata/caminata_001
2.87116125,-0.8404076287983371,-0.8209937014818884,0.747892531340092,1.392716366978455,caminata,caminata/caminata_001
2.88112125,-0.5170300711099285,-0.7151246558045579,0.7599097311406919,1.164554063688691,caminata,caminata/caminata_001
2.89108025,-0.22223191043045237,-0.5701274215363599,0.7725654672143952,0.9855403086294662,caminata,caminata/caminata_001
2.90104025,0.027279309250831663,-0.38583211725540795,0.7874885552343869,0.8773532971637682,caminata,caminata/caminata_001
2.91100025,0.2162567545656219,-0.16484388972691383,0.8057246456487462,0.8503720929577547,caminata,caminata/caminata_001
2.92095925,0.3318987792689599,0.08754012493536792,0.827430551785781,0.895802093758687,caminata,caminata/caminata_001
2.93091925,0.3648196893161425,0.3635899351650518,0.8515682528102563,0.9952183357737968,caminata,caminata/caminata_001
2.94087825,0.3099340927745414,0.65355238176318,0.8756682038576381,1.1357749164423228,caminata,caminata/caminata_001
2.95083825,0.16717047415114705,0.9461773145730323,0.8957398695438374,1.3136009256737622,caminata,caminata/caminata_001
2.96079725,-0.05807329581482819,1.2293229191868036,0.9063943522528671,1.5284495638131654,caminata,caminata/caminata_001
2.97075725,-0.354811008765329,1.4906046936739359,0.9012102660866146,1.7776313308568077,caminata,caminata/caminata_001
2.98071625,-0.7067425415882725,1.7180578592002185,0.8733271736053462,2.052780597094534,caminata,caminata/caminata_001
2.99067625,-1.0929453820844963,1.9007895646659112,0.8162031162431166,2.3395978509837163,caminata,caminata/caminata_001
3.00063625,-1.4889667359067105,2.0296032983080705,0.724436665359064,2.6193739655223425,caminata,caminata/caminata_001
3.01059525,-1.86825835805725,2.097582061483463,0.5945381084784619,2.871187099361714,caminata,caminata/caminata_001
3.02055525,-2.2038600605458614,2.100617849947283,0.42554070807098593,3.0741957342062505,caminata,caminata/caminata_001
3.03051425,-2.4702116010899973,2.037871550537005,0.2193670614436817,3.209826742722127,caminata,caminata/caminata_001
3.04047425,-2.6449588134847697,1.912138551804992,-0.019100026210870834,3.2638084774280047,caminata,caminata/caminata_001
3.05043325,-2.7106183186476733,1.7300817337693264,-0.28225537514395876,3.228049344682989,caminata,caminata/caminata_001
3.06039325,-2.655973897750987,1.5022781673830752,-0.5602961400209348,3.1024133835214123,caminata,caminata/caminata_001
3.07035225,-2.4770938731834877,1.2430141790489315,-0.8419816710271564,2.896551646393612,caminata,caminata/caminata_001
3.08031225,-2.1778805998160666,0.9697615142725928,-1.1155528432881203,2.632120712996969,caminata,caminata/caminata_001
3.09027225,-1.770089725870657,0.7022805844601864,-1.369717080961519,2.3457494620739747,caminata,caminata/caminata_001
3.10023125,-1.2727886306375242,0.46132882337996406,-1.5945938135978264,2.0917802494348554,caminata,caminata/caminata_001
3.11019125,-0.7112611322664761,0.26700361268150963,-1.782512487264846,1.9376620176679613,caminata,caminata/caminata_001
3.12015025,-0.11540926627876162,0.1368163549457851,-1.928564550476139,1.9368529213848134,caminata,caminata/caminata_001
3.13011025,0.4822491272098577,0.08366804689397739,-2.0308343753225886,2.0889836817834673,caminata,caminata/caminata_001
3.14006925,1.0488409935624237,0.11396293432196505,-2.0902722633004855,2.3414297159854316,caminata,caminata/caminata_001
3.15002925,1.553472747616318,0.22613860026736582,-2.1102230064510485,2.6301059638487527,caminata,caminata/caminata_001
3.15998825,1.9694364295270508,0.4098924839768895,-2.0956794538129198,2.904920665268265,caminata,caminata/caminata_001
3.16994825,2.2760928602798383,0.646335613305567,-2.0523815624889465,3.1321906889090436,caminata,caminata/caminata_001
3.17990725,2.4602714919048756,0.9092018539521215,-1.9859147746908559,3.289899894745317,caminata,caminata/caminata_001
3.18986725,2.5170784583488515,1.1670945377732274,-1.9009662656552408,3.3632523498457805,caminata,caminata/caminata_001
3.19982725,2.450062540457012,1.3865840949075952,-1.80086826586241,3.3419378233880512,caminata,caminata/caminata_001
3.20978625,2.2707444125274683,1.5358120800610422,-1.6874974756472454,3.2191065006616304,caminata,caminata/caminata_001
3.21974625,1.9975633395170675,1.5881432481370452,-1.5615215770053492,2.9917900841200633,caminata,caminata/caminata_001
3.22970525,1.6543372623091877,1.5253665762089172,-1.4229082913677862,2.6623754383863982,caminata,caminata/caminata_001
3.23966525,1.2683680743619699,1.3399921165890556,-1.2715600966821128,2.2408037674137673,caminata,caminata/caminata_001
3.24962425,0.8683525474495324,1.0363167703162546,-1.107921997042385,1.7479930625237594,caminata,caminata/caminata_001
3.25958425,0.48227574749953145,0.6301128192699263,-0.9334319362033062,1.2251233575272247,caminata,caminata/caminata_001
3.26954325,0.13546221411260642,0.14699180401743,-0.75073315345177,0.7768892260755242,caminata,caminata/caminata_001
3.27950325,-0.15106110336493553,-0.3803231913518091,-0.5636278110456177,0.6965209948120236,caminata,caminata/caminata_001
3.28946225,-0.36177354840994,-0.9154490425721388,-0.37680468691017516,1.053996594848788,caminata,caminata/caminata_001
3.29942225,-0.4873712015406104,-1.4220762867713859,-0.1954097545621812,1.5159210486257797,caminata,caminata/caminata_001
3.30938225,-0.5249582717418698,-1.867534206120638,-0.024544008285285836,1.9400689695068989,caminata,caminata/caminata_001
3.31934125,-0.47774476444555497,-2.2257860496101545,0.1312292453415999,2.280259790775437,caminata,caminata/caminata_001
3.32930125,-0.3543153343066953,-2.479549062899971,0.26829979828714307,2.5190648449799604,caminata,caminata/caminata_001
3.33926025,-0.1675651464029706,-2.6213597917649447,0.3843018682196811,2.654673833465825,caminata,caminata/caminata_001
3.34922025,0.06658050028435596,-2.6535425853080525,0.47825750438401365,2.6971191029617296,caminata,caminata/caminata_001
3.35917925,0.3305363604303355,-2.587170075694137,0.5505694301237682,2.6656762713278876,caminata,caminata/caminata_001
3.36913925,0.6063936380371879,-2.4402123230361434,0.6028777447386572,2.5856935241537418,caminata,caminata/caminata_001
3.37909825,0.8771144161045612,-2.2351445465677875,0.6378069792843759,2.4843507372780573,caminata,caminata/caminata_001
3.38905825,1.1275019014942345,-1.9963166790605746,0.6586376713549389,2.3854442779273657,caminata,caminata/caminata_001
3.39901725,1.3448966529665627,-1.747382647535223,0.6689412662665923,2.30425162293145,caminata,caminata/caminata_001
3.40897725,1.5195827722581192,-1.509049658242534,0.672219761736504,2.2446028782068916,caminata,caminata/caminata_001
3.41893725,1.6449186370667335,-1.2973472621129016,0.6715917469073798,2.1999778897969473,caminata,caminata/caminata_001
3.42889625,1.7172309938429486,-1.122542722478737,0.6695627694581325,2.158077559368351,caminata,caminata/caminata_001
3.43885625,1.7355279131811279,-0.9887521653975281,0.6679087549744567,2.106131545507229,caminata,caminata/caminata_001
3.44881525,1.701095369222952,-0.8942233967023583,0.6676864359503165,2.034494068596345,caminata,caminata/caminata_001
3.45877525,1.6170444091634608,-0.8322019665534475,0.6693663940788867,1.9378968248759796,caminata,caminata/caminata_001
3.46873425,1.4878712488948596,-0.7922418113963028,0.6730658187786329,1.8150552436277512,caminata,caminata/caminata_001
3.47869425,1.3190815858500116,-0.7617891200253617,0.6788430984686527,1.6676710844336533,caminata,caminata/caminata_001
3.48865325,1.1169138826292841,-0.7278547764387191,0.6870074754361698,1.4997494684445998,caminata,caminata/caminata_001
3.49861325,0.8881758105762767,-0.6785965188136205,0.6983949711044715,1.3179928078342484,caminata,caminata/caminata_001
3.50857225,0.6401856260348209,-0.6046543628881356,0.714565667879014,1.1340408405576203,caminata,caminata/caminata_001
3.51853225,0.38078898820256296,-0.5001179356541987,0.737885342660556,0.9693260452565149,caminata,caminata/caminata_001
3.52849225,0.11840504305084007,-0.3630478325307768,0.7714646395536436,0.8608026330157219,caminata,caminata/caminata_001
3.53845125,-0.13795338934485707,-0.19552107178386077,0.8189406377023154,0.8531842680356445,caminata,caminata/caminata_001
3.54841125,-0.37873978026938965,-0.003219867050957115,0.8840991736736452,0.9618136709325532,caminata,caminata/caminata_001
3.55837025,-0.5940567732477235,0.20536993567730732,0.9703526837756744,1.1561421154997567,caminata,caminata/caminata_001
3.56833025,-0.7739840399334013,0.42004300090235497,1.0801084052748888,1.3936002238174863,caminata,caminata/caminata_001
3.57828925,-0.909046766270303,0.6301021596376424,1.2140847391727905,1.6423752642860823,caminata,caminata/caminata_001
3.58824925,-0.9907932833804296,0.8255739533848461,1.370656264277623,1.8820048559190132,caminata,caminata/caminata_001
3.59820825,-1.0124278600673722,0.9982585509720469,1.5453249654514334,2.0998951295902573,caminata,caminata/caminata_001
3.60816825,-0.9694314460608162,1.14248312506599,1.7304205582090588,2.2889780094934653,caminata,caminata/caminata_001
3.61812725,-0.8601017976371151,1.2554694237922237,1.9151214099810292,2.4461538364018525,caminata,caminata/caminata_001
3.62808725,-0.6859544203301928,1.3372819162986154,2.0858576639377597,2.5709256279864876,caminata,caminata/caminata_001
3.63804625,-0.45194314856514567,1.3903846882839883,2.227112244748156,2.6641041912163854,caminata,caminata/caminata_001
3.64800625,-0.16647759402519796,1.4188940282553044,2.322580035957858,2.7267843838780115,caminata,caminata/caminata_001
3.65796625,0.1587716426024269,1.427660028797178,2.356589862360584,2.7598799560307885,caminata,caminata/caminata_001
3.66792525,0.5092820374236363,1.4213361580097459,2.315647726136964,2.764378602737253,caminata,caminata/caminata_001
3.67788525,0.8683009957525707,1.4035951114143175,2.1899311961710604,2.7422298408365204,caminata,caminata/caminata_001
3.68784425,1.2176731269204184,1.3766214620001669,1.9745588841040387,2.6975354085642347,caminata,caminata/caminata_001
3.69780425,1.5388522465444292,1.340960929474954,1.6704765836260989,2.6375622205961875,caminata,caminata/caminata_001
3.70776325,1.814055540888419,1.2957413228467096,1.2848402791870022,2.5730444271683006,caminata,caminata/caminata_001
3.71772325,2.0274909543652972,1.2392133241164043,0.8308304346126315,2.5172700379139594,caminata,caminata/caminata_001
